QuestionKey,OrderIndex,OptionText,IsCorrect
ctst6-c7-05,3,2,false
ctst6-c7-05,4,3,false
ctst6-c7-06,1,Đúng,true
ctst6-c7-06,2,Sai,false
ctst6-c7-07,1,Đúng,true
ctst6-c7-07,2,Sai,false
ctst6-c8-01,1,Góc nhọn,true
ctst6-c8-01,2,Góc bẹt,false
ctst6-c8-01,3,Góc vuông,false
ctst6-c8-01,4,Góc tù,false
ctst6-c8-03,1,Đúng,false
ctst6-c8-03,2,Sai,true
ctst6-c8-04,1,90°,false
ctst6-c8-04,2,42°,false
ctst6-c8-04,3,58°,false
ctst6-c8-04,4,48°,true
ctst6-c8-05,1,Góc vuông,false
ctst6-c8-05,2,Góc bẹt,false
ctst6-c8-05,3,Góc tù,false
ctst6-c8-05,4,Góc nhọn,true
ctst6-c8-07,1,Đúng,false
ctst6-c8-07,2,Sai,true
ctst6-c8-08,1,90°,false
ctst6-c8-08,2,63°,false
ctst6-c8-08,3,37°,false
ctst6-c8-08,4,27°,true
ctst6-c9-02,1,40,false
ctst6-c9-02,2,11,false
ctst6-c9-02,3,27,false
ctst6-c9-02,4,29,true
ctst6-c9-03,1,Đúng,false
ctst6-c9-03,2,Sai,true
ctst6-c9-04,1,Toán,false
ctst6-c9-04,2,Anh,false
ctst6-c9-04,3,Thể dục,true
ctst6-c9-04,4,Khoa học,false
ctst6-c9-06,1,11,false
ctst6-c9-06,2,34,true
ctst6-c9-06,3,45,false
ctst6-c9-06,4,32,false
ctst6-c9-07,1,Đúng,true
ctst6-c9-07,2,Sai,false
ctst6-c9-08,1,Thể dục,true
ctst6-c9-08,2,Toán,false
ctst6-c9-08,3,Khoa học,false
ctst6-c9-08,4,Văn,false
