NodeKey,OrderIndex,BlockType,ContentText,ContentUrl,MetadataJson
c2b4,1,Heading,# Bài 4. Phép trừ hai số nguyên. Quy tắc dấu ngoặc,,
c2b4,2,Text,"Bài học thuộc **Chương 2. Số nguyên**. Mục tiêu: nắm được trừ số nguyên, bỏ và thêm dấu ngoặc.",,
c2b4,3,Note,"**Chú ý.** Nội dung lý thuyết chi tiết, ví dụ và bài tập của bài này sẽ được cập nhật trong bản biên soạn đầy đủ.",,
c2b5,1,Heading,# Bài 5. Phép nhân hai số nguyên,,
c2b5,2,Text,"Bài học thuộc **Chương 2. Số nguyên**. Mục tiêu: nắm được nhân hai số nguyên cùng dấu, khác dấu và tính chất.",,
c2b5,3,Note,"**Chú ý.** Nội dung lý thuyết chi tiết, ví dụ và bài tập của bài này sẽ được cập nhật trong bản biên soạn đầy đủ.",,
c2b6,1,Heading,# Bài 6. Phép chia hết. Quan hệ chia hết trong tập hợp các số nguyên,,
c2b6,2,Text,"Bài học thuộc **Chương 2. Số nguyên**. Mục tiêu: nắm được phép chia hết, ước và bội của một số nguyên.",,
c2b6,3,Note,"**Chú ý.** Nội dung lý thuyết chi tiết, ví dụ và bài tập của bài này sẽ được cập nhật trong bản biên soạn đầy đủ.",,
c3b1,1,Heading,# Bài 1. Hình vuông – Tam giác đều – Lục giác đều,,
c3b1,2,Text,"Bài học thuộc **Chương 3. Các hình phẳng trong thực tiễn**. Mục tiêu: nắm được nhận biết, yếu tố cơ bản và cách vẽ.",,
c3b1,3,Note,"**Chú ý.** Nội dung lý thuyết chi tiết, ví dụ và bài tập của bài này sẽ được cập nhật trong bản biên soạn đầy đủ.",,
c3b2,1,Heading,# Bài 2. Hình chữ nhật – Hình thoi – Hình bình hành – Hình thang cân,,
c3b2,2,Text,Bài học thuộc **Chương 3. Các hình phẳng trong thực tiễn**. Mục tiêu: nắm được nhận biết và các yếu tố cơ bản.,,
c3b2,3,Note,"**Chú ý.** Nội dung lý thuyết chi tiết, ví dụ và bài tập của bài này sẽ được cập nhật trong bản biên soạn đầy đủ.",,
c3b3,1,Heading,# Bài 3. Chu vi và diện tích của một số hình trong thực tiễn,,
c3b3,2,Text,"Bài học thuộc **Chương 3. Các hình phẳng trong thực tiễn**. Mục tiêu: nắm được công thức chu vi, diện tích và bài toán thực tế.",,
c3b3,3,Note,"**Chú ý.** Nội dung lý thuyết chi tiết, ví dụ và bài tập của bài này sẽ được cập nhật trong bản biên soạn đầy đủ.",,
c4b1,1,Heading,# Bài 1. Thu thập và phân loại dữ liệu,,
c4b1,2,Text,"Bài học thuộc **Chương 4. Một số yếu tố thống kê**. Mục tiêu: nắm được cách thu thập, dữ liệu số và không phải số, tính hợp lí.",,
c4b1,3,Note,"**Chú ý.** Nội dung lý thuyết chi tiết, ví dụ và bài tập của bài này sẽ được cập nhật trong bản biên soạn đầy đủ.",,
c4b2,1,Heading,# Bài 2. Biểu diễn dữ liệu trên bảng,,
c4b2,2,Text,"Bài học thuộc **Chương 4. Một số yếu tố thống kê**. Mục tiêu: nắm được bảng thống kê, bảng kiểm đếm.",,
c4b2,3,Note,"**Chú ý.** Nội dung lý thuyết chi tiết, ví dụ và bài tập của bài này sẽ được cập nhật trong bản biên soạn đầy đủ.",,
c4b3,1,Heading,# Bài 3. Biểu đồ tranh,,
c4b3,2,Text,Bài học thuộc **Chương 4. Một số yếu tố thống kê**. Mục tiêu: nắm được đọc và vẽ biểu đồ tranh.,,
c4b3,3,Note,"**Chú ý.** Nội dung lý thuyết chi tiết, ví dụ và bài tập của bài này sẽ được cập nhật trong bản biên soạn đầy đủ.",,
c4b4,1,Heading,# Bài 4. Biểu đồ cột – Biểu đồ cột kép,,
c4b4,2,Text,"Bài học thuộc **Chương 4. Một số yếu tố thống kê**. Mục tiêu: nắm được đọc, phân tích và vẽ biểu đồ cột, cột kép.",,
c4b4,3,Note,"**Chú ý.** Nội dung lý thuyết chi tiết, ví dụ và bài tập của bài này sẽ được cập nhật trong bản biên soạn đầy đủ.",,
c5b1,1,Heading,# Bài 1. Phân số với tử số và mẫu số là số nguyên,,
c5b1,2,Text,"Bài học thuộc **Chương 5. Phân số**. Mục tiêu: nắm được mở rộng khái niệm phân số, phân số bằng nhau.",,
c5b1,3,Note,"**Chú ý.** Nội dung lý thuyết chi tiết, ví dụ và bài tập của bài này sẽ được cập nhật trong bản biên soạn đầy đủ.",,
c5b2,1,Heading,# Bài 2. Tính chất cơ bản của phân số,,
c5b2,2,Text,"Bài học thuộc **Chương 5. Phân số**. Mục tiêu: nắm được rút gọn, quy đồng mẫu nhiều phân số.",,
c5b2,3,Note,"**Chú ý.** Nội dung lý thuyết chi tiết, ví dụ và bài tập của bài này sẽ được cập nhật trong bản biên soạn đầy đủ.",,
c5b3,1,Heading,# Bài 3. So sánh phân số,,
c5b3,2,Text,"Bài học thuộc **Chương 5. Phân số**. Mục tiêu: nắm được so sánh phân số cùng mẫu, khác mẫu.",,
c5b3,3,Note,"**Chú ý.** Nội dung lý thuyết chi tiết, ví dụ và bài tập của bài này sẽ được cập nhật trong bản biên soạn đầy đủ.",,
c5b4,1,Heading,# Bài 4. Phép cộng và phép trừ phân số,,
c5b4,2,Text,"Bài học thuộc **Chương 5. Phân số**. Mục tiêu: nắm được cộng, trừ phân số và tính chất.",,
c5b4,3,Note,"**Chú ý.** Nội dung lý thuyết chi tiết, ví dụ và bài tập của bài này sẽ được cập nhật trong bản biên soạn đầy đủ.",,
c5b5,1,Heading,# Bài 5. Phép nhân và phép chia phân số,,
c5b5,2,Text,"Bài học thuộc **Chương 5. Phân số**. Mục tiêu: nắm được nhân, chia phân số, số nghịch đảo.",,
c5b5,3,Note,"**Chú ý.** Nội dung lý thuyết chi tiết, ví dụ và bài tập của bài này sẽ được cập nhật trong bản biên soạn đầy đủ.",,
c5b6,1,Heading,# Bài 6. Giá trị phân số của một số,,
c5b6,2,Text,Bài học thuộc **Chương 5. Phân số**. Mục tiêu: nắm được tìm giá trị phân số của một số cho trước và bài toán ngược.,,
c5b6,3,Note,"**Chú ý.** Nội dung lý thuyết chi tiết, ví dụ và bài tập của bài này sẽ được cập nhật trong bản biên soạn đầy đủ.",,
c6b1,1,Heading,# Bài 1. Số thập phân,,
c6b1,2,Text,"Bài học thuộc **Chương 6. Số thập phân**. Mục tiêu: nắm được số thập phân, số đối, so sánh số thập phân.",,
c6b1,3,Note,"**Chú ý.** Nội dung lý thuyết chi tiết, ví dụ và bài tập của bài này sẽ được cập nhật trong bản biên soạn đầy đủ.",,
c6b2,1,Heading,# Bài 2. Các phép tính với số thập phân,,
c6b2,2,Text,"Bài học thuộc **Chương 6. Số thập phân**. Mục tiêu: nắm được cộng, trừ, nhân, chia số thập phân.",,
c6b2,3,Note,"**Chú ý.** Nội dung lý thuyết chi tiết, ví dụ và bài tập của bài này sẽ được cập nhật trong bản biên soạn đầy đủ.",,
c6b3,1,Heading,# Bài 3. Làm tròn số thập phân và ước lượng kết quả,,
c6b3,2,Text,"Bài học thuộc **Chương 6. Số thập phân**. Mục tiêu: nắm được quy tắc làm tròn, ước lượng.",,
c6b3,3,Note,"**Chú ý.** Nội dung lý thuyết chi tiết, ví dụ và bài tập của bài này sẽ được cập nhật trong bản biên soạn đầy đủ.",,
c6b4,1,Heading,# Bài 4. Tỉ số và tỉ số phần trăm,,
c6b4,2,Text,"Bài học thuộc **Chương 6. Số thập phân**. Mục tiêu: nắm được tỉ số, tỉ số phần trăm và bài toán thực tế.",,
c6b4,3,Note,"**Chú ý.** Nội dung lý thuyết chi tiết, ví dụ và bài tập của bài này sẽ được cập nhật trong bản biên soạn đầy đủ.",,
c7b1,1,Heading,# Bài 1. Hình có trục đối xứng,,
c7b1,2,Text,"Bài học thuộc **Chương 7. Hình học trực quan. Tính đối xứng**. Mục tiêu: nắm được trục đối xứng, hình có trục đối xứng.",,
c7b1,3,Note,"**Chú ý.** Nội dung lý thuyết chi tiết, ví dụ và bài tập của bài này sẽ được cập nhật trong bản biên soạn đầy đủ.",,
c7b2,1,Heading,# Bài 2. Hình có tâm đối xứng,,
c7b2,2,Text,"Bài học thuộc **Chương 7. Hình học trực quan. Tính đối xứng**. Mục tiêu: nắm được tâm đối xứng, hình có tâm đối xứng.",,
c7b2,3,Note,"**Chú ý.** Nội dung lý thuyết chi tiết, ví dụ và bài tập của bài này sẽ được cập nhật trong bản biên soạn đầy đủ.",,
c7b3,1,Heading,# Bài 3. Vai trò của tính đối xứng trong thế giới tự nhiên,,
c7b3,2,Text,"Bài học thuộc **Chương 7. Hình học trực quan. Tính đối xứng**. Mục tiêu: nắm được đối xứng trong tự nhiên, kiến trúc, nghệ thuật.",,
c7b3,3,Note,"**Chú ý.** Nội dung lý thuyết chi tiết, ví dụ và bài tập của bài này sẽ được cập nhật trong bản biên soạn đầy đủ.",,
c8b1,1,Heading,# Bài 1. Điểm. Đường thẳng,,
c8b1,2,Text,"Bài học thuộc **Chương 8. Các hình hình học cơ bản**. Mục tiêu: nắm được điểm, đường thẳng, điểm thuộc/không thuộc đường thẳng.",,
c8b1,3,Note,"**Chú ý.** Nội dung lý thuyết chi tiết, ví dụ và bài tập của bài này sẽ được cập nhật trong bản biên soạn đầy đủ.",,
c8b2,1,Heading,# Bài 2. Ba điểm thẳng hàng. Ba điểm không thẳng hàng,,
c8b2,2,Text,"Bài học thuộc **Chương 8. Các hình hình học cơ bản**. Mục tiêu: nắm được quan hệ thẳng hàng, điểm nằm giữa.",,
c8b2,3,Note,"**Chú ý.** Nội dung lý thuyết chi tiết, ví dụ và bài tập của bài này sẽ được cập nhật trong bản biên soạn đầy đủ.",,
c8b3,1,Heading,"# Bài 3. Hai đường thẳng cắt nhau, song song. Tia",,
c8b3,2,Text,"Bài học thuộc **Chương 8. Các hình hình học cơ bản**. Mục tiêu: nắm được vị trí tương đối hai đường thẳng, khái niệm tia.",,
c8b3,3,Note,"**Chú ý.** Nội dung lý thuyết chi tiết, ví dụ và bài tập của bài này sẽ được cập nhật trong bản biên soạn đầy đủ.",,
c8b4,1,Heading,# Bài 4. Đoạn thẳng. Độ dài đoạn thẳng,,
c8b4,2,Text,"Bài học thuộc **Chương 8. Các hình hình học cơ bản**. Mục tiêu: nắm được đoạn thẳng, đo và so sánh độ dài.",,
c8b4,3,Note,"**Chú ý.** Nội dung lý thuyết chi tiết, ví dụ và bài tập của bài này sẽ được cập nhật trong bản biên soạn đầy đủ.",,
c8b5,1,Heading,# Bài 5. Trung điểm của đoạn thẳng,,
c8b5,2,Text,Bài học thuộc **Chương 8. Các hình hình học cơ bản**. Mục tiêu: nắm được định nghĩa và cách xác định trung điểm.,,
c8b5,3,Note,"**Chú ý.** Nội dung lý thuyết chi tiết, ví dụ và bài tập của bài này sẽ được cập nhật trong bản biên soạn đầy đủ.",,
c8b6,1,Heading,# Bài 6. Góc,,
c8b6,2,Text,"Bài học thuộc **Chương 8. Các hình hình học cơ bản**. Mục tiêu: nắm được khái niệm góc, điểm trong của góc.",,
c8b6,3,Note,"**Chú ý.** Nội dung lý thuyết chi tiết, ví dụ và bài tập của bài này sẽ được cập nhật trong bản biên soạn đầy đủ.",,
c8b7,1,Heading,# Bài 7. Số đo góc. Các góc đặc biệt,,
c8b7,2,Text,"Bài học thuộc **Chương 8. Các hình hình học cơ bản**. Mục tiêu: nắm được đo góc, góc nhọn, vuông, tù, bẹt.",,
c8b7,3,Note,"**Chú ý.** Nội dung lý thuyết chi tiết, ví dụ và bài tập của bài này sẽ được cập nhật trong bản biên soạn đầy đủ.",,
c9b1,1,Heading,# Bài 1. Phép thử nghiệm – Sự kiện,,
c9b1,2,Text,"Bài học thuộc **Chương 9. Một số yếu tố xác suất**. Mục tiêu: nắm được phép thử, kết quả có thể, sự kiện.",,
c9b1,3,Note,"**Chú ý.** Nội dung lý thuyết chi tiết, ví dụ và bài tập của bài này sẽ được cập nhật trong bản biên soạn đầy đủ.",,
c9b2,1,Heading,# Bài 2. Xác suất thực nghiệm,,
c9b2,2,Text,Bài học thuộc **Chương 9. Một số yếu tố xác suất**. Mục tiêu: nắm được tính xác suất thực nghiệm của một sự kiện.,,
c9b2,3,Note,"**Chú ý.** Nội dung lý thuyết chi tiết, ví dụ và bài tập của bài này sẽ được cập nhật trong bản biên soạn đầy đủ.",,
